FECHA_INGRESO,DOCUMENTO,RAZSOC_RESPONSABLE,NRO_GUIA,GUIA_MADRE,FECHA_ACTA,NRO_ACTA,TPO.ANOM,DESC.ANOMALIA,CTPDCTO,SCLI,BULTOS,PESO,AEROLINEA,TIPO AERONAVE
6/11/2023,MDES-2023-104953-73-H,A,XXX-55981485,020-31436425,7/11/2023,2023-27707-X,EMBABI,EMB.ABIERTO,MDES,74,1,"107,8",LUFTHANSA,CARGUERO
6/11/2023,MDES-2023-104529-73-G,B,XXX-0B345257,992-27353944,6/11/2023,2023-27651-V,DERRAM,EMB.DERRAME,MDES,50,1,82,unknow,PASAJEROS
6/11/2023,MDES-2023-104529-73-G,B,XXX-0B345257,992-27353944,6/11/2023,2023-27651-V,FALPRE,F.PRECINTO,MDES,50,1,82,unknow,PASAJEROS
6/11/2023,MDES-2023-104373-73-D,B,XXX-00002485,510-10485823,27/2/2014,2014-6389-A,FALPRE,F.PRECINTO,MDES,50,4,"445,14",AIR CLASS,PASAJEROS
5/11/2023,MDES-2023-104774-73-X,C,XXX-00058733,139-46431862,28/1/2002,2002-2700-X,FALPRE,F.PRECINTO,MDES,800850,4,"158,6",AEROMÉXICO,PASAJEROS
5/11/2023,MDES-2023-104774-73-X,C,XXX-00058736,139-46431862,10/2/2000,2000-20744-W,APLAST,APLAST/DEF.,MDES,800850,1,"81,2",AEROMÉXICO,PASAJEROS
5/11/2023,MDES-2023-104774-73-X,C,XXX-00058736,139-46431862,19/9/2022,2022-27187-Z,EMBMOJ,EMB.MOJADO,MDES,800850,1,"81,2",AEROMÉXICO,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,11/5/2000,2000-41387-C,EMBABI,EMB.ABIERTO,MDES,800850,3,379,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,18/2/2001,2001-6667-Y,EMBROT,EMB.ROTO,MDES,800850,3,379,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,6/6/2003,2003-350091-E,EMBABI,EMB.ABIERTO,MDES,800850,3,379,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,23/9/2004,2004-66033-K,APLAST,APLAST/DEF.,MDES,800850,3,379,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,23/9/2004,2004-66034-A,APLAST,APLAST/DEF.,MDES,800850,3,379,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,23/9/2004,2004-66034-A,EMBROT,EMB.ROTO,MDES,800850,3,379,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,18/10/2004,2004-73318-A,APLAST,APLAST/DEF.,MDES,800850,3,379,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,18/10/2004,2004-73318-A,EMBABI,EMB.ABIERTO,MDES,800850,3,379,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,18/10/2004,2004-73318-A,EMBROT,EMB.ROTO,MDES,800850,3,379,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,18/10/2004,2004-73318-A,FALPRE,F.PRECINTO,MDES,800850,3,379,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,4/7/2005,2005-44657-B,FALPRE,F.PRECINTO,MDES,800850,3,379,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,15/6/2007,2007-62882-R,APLAST,APLAST/DEF.,MDES,800850,3,379,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,6/8/2008,2008-79112-S,EMBABI,EMB.ABIERTO,MDES,800850,3,379,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,14/9/2009,2009-37664-A,APLAST,APLAST/DEF.,MDES,800850,6,758,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,14/9/2009,2009-37664-A,EMBROT,EMB.ROTO,MDES,800850,3,379,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,17/1/2018,2018-1399-W,EMBABI,EMB.ABIERTO,MDES,800850,3,379,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,30/11/2018,2018-44794-C,EMBABI,EMB.ABIERTO,MDES,800850,3,379,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,5/12/2018,2018-45527-X,EMBMOJ,EMB.MOJADO,MDES,800850,3,379,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104775-73-J,C,XXX-00000131,235-36426143,5/12/2018,2018-45527-X,EMBROT,EMB.ROTO,MDES,800850,3,379,TURKISH,PASAJEROS
5/11/2023,MDES-2023-104822-73-C,C,XXX-00442348,369-82527723,6/11/2023,2023-27643-W,EMBABI,EMB.ABIERTO,MDES,800850,11,"132,09",ATLAS,CARGUERO
5/11/2023,MDES-2023-104825-73-F,C,XXX-00051659,369-82530722,5/12/2013,2013-42353-R,APLAST,APLAST/DEF.,MDES,800850,1,"6,45",ATLAS,CARGUERO
5/11/2023,MDES-2023-104909-73-X,A,XXX-55823617,369-87714266,6/11/2023,2023-27650-U,APLAST,APLAST/DEF.,MDES,74,17,"2743,4",ATLAS,CARGUERO
5/11/2023,MDES-2023-104356-73-E,B,XXX-0B434521,045-48223910,6/11/2023,2023-27608-X,EMBROT,EMB.ROTO,MDES,50,2,295,LATAM,PASAJEROS
5/11/2023,MDES-2023-104821-73-B,C,XXX-00008070,014-72579242,19/10/2021,2021-31390-Q,EMBROT,EMB.ROTO,MDES,800850,1,7,AIR CANADA,PASAJEROS
5/11/2023,MDES-2023-104911-73-B,A,XXX-56004290,001-81330513,6/11/2023,2023-27648-B,APLAST,APLAST/DEF.,MDES,74,3,"234,05",AMERICAN,PASAJEROS
5/11/2023,MDES-2023-104828-73-X,C,XXX-00253690,001-81647834,29/1/2004,2004-5485-C,EMBROT,EMB.ROTO,MDES,800850,1,"23,59",AMERICAN,PASAJEROS
5/11/2023,MDES-2023-104828-73-X,C,XXX-00253715,001-81647834,12/8/2020,2020-26832-V,APLAST,APLAST/DEF.,MDES,800850,1,"62,6",AMERICAN,PASAJEROS
5/11/2023,MDES-2023-104753-73-F,C,XXX-00131032,074-62575376,8/8/2001,2001-39410-C,APLAST,APLAST/DEF.,MDES,800850,1,2,KLM,CARGUERO
4/11/2023,MDES-2023-104756-73-X,C,XXX-00130859,057-48842500,19/11/2006,2006-114717-H,MERVIS,MERC.VISTA,MDES,800850,1,"0,9",AIR FRANCE,PASAJEROS
4/11/2023,MDES-2023-104756-73-X,C,XXX-00130859,057-48842500,19/11/2006,2006-114719-A,EMBABI,EMB.ABIERTO,MDES,800850,1,"0,9",AIR FRANCE,PASAJEROS
4/11/2023,MDES-2023-104756-73-X,C,XXX-00130859,057-48842500,19/11/2006,2006-114719-A,FALPRE,F.PRECINTO,MDES,800850,1,"0,9",AIR FRANCE,PASAJEROS
